Kolumna1,ID,lp,ekspot,kategorie,start_min,start_s,stop_min,stop_s,czas_w_sek,czas_w_min,Z_KIM,X1_OSTOW,X2_OSTOW,X3_OSTOW,X4_OSTOW,X5_OSTOW,X6_OSTOW,X7_OSTOW,X8_OSTOW,X9_OSTOW,ILE_OSTOW,zach,opis,animator,uwagi,os_3,os_3_e,os_2,os_2_e
5591,1005,5725,OBROTOWY STOLIK,2,26,40,26,57,17,0.28,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5592,1005,5726,PIRUETY,2,27,0,27,20,20,0.33,1002,1002,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5593,1005,5727,ROWEROWE PRZEKRĘTY,2,27,32,28,42,70,1.17,"1008, 1016",1008,1016,,,,,,,,2,3,1,,,3,z 3 lub więcej osobami,2,z innymi
5594,1005,5728,EFEKT FOTOELEKTRYCZNY,2,28,52,30,20,88,1.47,1017,1017,,,,,,,,,1,4,1,,Doszła  1017.,2,z inną osobą,2,z innymi
5595,1005,5729,FOTOKOMÓRKA,2,30,21,31,8,47,0.78,1017,1017,,,,,,,,,1,4,1,,Zamieniły się z 1017.,2,z inną osobą,2,z innymi
5596,1005,5730,NIESFOR WALIZKA,2,31,20,31,42,22,0.37,1016,1016,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5597,1005,5731,CHAOTYCZNE WAHADŁO,2,32,13,32,37,24,0.4,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5598,1005,5732,OBROTOWY STOLIK,2,32,39,33,4,25,0.42,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5599,1005,5733,MAJSTERNIA,3,33,26,64,25,1859,30.98,1004,1004,,,,,,,,,1,,,,Dmuchawa. Od 55:10 wieża. 44:32 wizyta uczyciela do 51:12.,2,z inną osobą,2,z innymi
5600,1005,5734,KOMORA ISKROWA,2,64,42,64,48,6,0.1,,,,,,,,,,,0,1,,,,1,sam/a,1,sam/a
5601,1005,5735,DRGAJĄCE PIERŚCIENIE,2,64,51,65,6,15,0.25,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5602,1005,5736,CZTERY PORY ROKU,2,65,12,65,25,13,0.22,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5603,1005,5737,PRĘCIKI LISSAJOUS,2,65,28,65,47,19,0.32,1020,1020,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5604,1005,5738,MYDLANE LUSTRO,2,65,52,66,40,48,0.8,1020,1020,,,,,,,,,1,4,,,,2,z inną osobą,2,z innymi
5605,1005,5739,FIGURY LISSAJOUS,2,66,44,67,1,17,0.28,1020,1020,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5606,1005,5740,WAHADŁO ŚWIETLNE,2,67,2,67,35,33,0.55,1020,1020,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
5607,1005,5741,FALOWANIE I SKAKANIE,2,68,1,68,23,22,0.37,,,,,,,,,,,0,1,,,Przy ekspocie uczyciel.,1,sam/a,1,sam/a
5608,1005,5742,RADIO W GĘBIE,2,68,28,69,50,82,1.37,"1010, 1014, 1007",1010,1014,1007,,,,,,,3,3,,1,"A, później uczyciel przy ekspocie.",3,z 3 lub więcej osobami,2,z innymi
