Kolumna1,ID,lp,ekspot,kategorie,start_min,start_s,stop_min,stop_s,czas_w_sek,czas_w_min,Z_KIM,X1_OSTOW,X2_OSTOW,X3_OSTOW,X4_OSTOW,X5_OSTOW,X6_OSTOW,X7_OSTOW,X8_OSTOW,X9_OSTOW,ILE_OSTOW,zach,opis,animator,uwagi,os_3,os_3_e,os_2,os_2_e
1,102,542,PODWÓJNE ZWIERCIADŁO,2,0,30,1,16,46,0.77,112,112,,,,,,,,,1,1,,,,2,z inną osobą,2,z innymi
2,102,543,ZWIERCIADLANY LABIRYNT,2,1,20,2,20,60,1,"0112, 0111, 0102",112,111,102,,,,,,,3,3,,,,3,z 3 lub więcej osobami,2,z innymi
3,102,544,LUSTRO POWIĘKSZAJĄCE,2,2,20,3,30,70,1.17,"0112, 0111, 0102",112,111,102,,,,,,,3,1,,,,3,z 3 lub więcej osobami,2,z innymi
4,102,545,MEGAKALEJDOSKOP,2,3,40,4,5,25,0.42,"0112, 0111, 0102",112,111,102,,,,,,,3,1,,,,3,z 3 lub więcej osobami,2,z innymi
5,102,546,WIDOK Z TYŁU,2,4,10,4,40,30,0.5,112,112,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
6,102,547,OCZY Z TYŁU GŁOWY,2,4,40,5,12,32,0.53,"0112, 0102",112,102,,,,,,,,2,3,,,"0111 woła 0112, 0102.",3,z 3 lub więcej osobami,2,z innymi
7,102,548,KOSTKA DO NIESKOŃCZONOŚCI,2,5,20,7,3,103,1.72,"0112, 0111, 0102",112,111,102,,,,,,,3,,,,,3,z 3 lub więcej osobami,2,z innymi
8,102,549,KRZYWE ZWIERCIADŁA,2,7,5,8,40,95,1.58,"0112, 0111, 0102",112,111,102,,,,,,,3,3,,,,3,z 3 lub więcej osobami,2,z innymi
9,102,550,JA LATAM,2,8,40,9,40,60,1,"0112, 0111, 0102",112,111,102,,,,,,,3,3,,,,3,z 3 lub więcej osobami,2,z innymi
10,102,551,DUCH PEPPERA,2,9,45,11,12,87,1.45,"0112, 0111, 0102",112,111,102,,,,,,,3,3,,,,3,z 3 lub więcej osobami,2,z innymi
11,102,552,LUSTRO ŁAZIENKOWE,2,11,30,13,50,140,2.33,"0112, 0111, 0102",112,111,102,,,,,,,3,3,,,,3,z 3 lub więcej osobami,2,z innymi
12,102,553,ODBIJANIE FAL RADIOWYCH,2,14,10,14,25,15,0.25,"0112, 0111, 0102",112,111,102,,,,,,,3,2,,,,3,z 3 lub więcej osobami,2,z innymi
13,102,554,PISMO LUSTRZANE,2,14,25,17,30,185,3.08,113,113,,,,,,,,,1,4,,,,2,z inną osobą,2,z innymi
14,102,555,EKSPERYMENT Z KALEJDOSKOPEM,2,17,30,19,15,105,1.75,113,113,,,,,,,,,1,4,,,,2,z inną osobą,2,z innymi
15,102,556,WIATRAKI I TURBOWIATRAKI,2,19,30,20,30,60,1,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
16,102,557,SIATKA PERSPEKTYWICZ,2,20,40,21,55,75,1.25,,,,,,,,,,,0,2,1,,,1,sam/a,1,sam/a
17,102,558,DŹWIĘKI RELIGII,2,22,0,22,38,38,0.63,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
18,102,559,TORDO OGNIA,2,22,40,22,50,10,0.17,,,,,,,,,,,0,1,1,,,1,sam/a,1,sam/a
19,102,560,ŚWIĘTE ZKI LUDZKOŚCI,2,23,30,24,10,40,0.67,,,,,,,,,,,0,2,,,,1,sam/a,1,sam/a
20,102,561,PISMO LUSTRZANE,2,25,35,26,30,55,0.92,,,,,,,,,,,0,1,,,Po chwili błakania wraca do koleżanek.,1,sam/a,1,sam/a
21,102,562,WIDOK Z TYŁU,2,26,30,27,5,35,0.58,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
22,102,563,LUSTRO POWIĘKSZAJĄCE,2,27,10,27,55,45,0.75,,,,,,,,,,,0,1,,,,1,sam/a,1,sam/a
23,102,564,OBRAZY AMORFICZNE,2,28,0,29,0,60,1,,,,,,,,,,,0,1,1,,Walec i stożek.,1,sam/a,1,sam/a
24,102,565,JA LATAM,2,29,0,29,30,30,0.5,,,,,,,,,,,0,3,,,Uczy koleżanki.,1,sam/a,1,sam/a
25,102,566,LUSTRO  MIARĘ,2,29,40,30,36,56,0.93,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
26,102,567,KOSTKA DO NIESKOŃCZONOŚCI,2,31,0,33,40,160,2.67,,,,,,,,,,,0,3,,,"Woła koleżanki, robi im zdjęcie.",1,sam/a,1,sam/a
27,102,568,ZWIERCIADLANY LABIRYNT,2,33,40,34,50,70,1.17,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
28,102,569,WSZECHŚWIAT RÓWNOLEGŁY,2,34,50,36,0,70,1.17,113,113,,,,,,,,,1,3,,,Tylko 0113 dotknęła.,2,z inną osobą,2,z innymi
29,102,570,PODWÓJNE ZWIERCIADŁO,2,36,0,36,40,40,0.67,,,,,,,,,,,0,4,,,,1,sam/a,1,sam/a
30,102,571,WSZYSTKIE OCZY PATRZĄ  MNIE,2,36,40,37,30,50,0.83,,,,,,,,,,,0,1,1,,,1,sam/a,1,sam/a
31,102,572,WSZYSTKIE OCZY PATRZĄ  MNIE,2,37,40,38,16,36,0.6,113,113,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
32,102,573,LUSTRO OBROTOWE,2,38,20,39,0,40,0.67,,,,,,,,,,,0,2,,,,1,sam/a,1,sam/a
33,102,574,ZWIERCIADLANY LABIRYNT,2,39,10,39,50,40,0.67,,,,,,,,,,,0,,,,,1,sam/a,1,sam/a
34,102,575,POLYTAKIS,2,39,55,41,0,65,1.08,,,,,,,,,,,0,1,,,,1,sam/a,1,sam/a
35,102,576,MAŁA FATAMORGA,2,41,20,42,0,40,0.67,,,,,,,,,,,0,1,1,,,1,sam/a,1,sam/a
36,102,577,MOZAIKA RZYMSKA ZBUDOWA JEST Z PIKSELI,2,42,20,43,45,85,1.42,,,,,,,,,,,0,1,1,,,1,sam/a,1,sam/a
37,102,578,DŹWIĘKI RELIGII,2,43,45,44,15,30,0.5,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
38,102,579,HIPERBOLA I SPÓŁKA,2,45,0,46,0,60,1,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
39,102,580,AUKCJA HOLENDERSKA,2,46,10,57,10,660,11,"0111, 0112, 0113",111,112,113,,,,,,,3,3,,,,3,z 3 lub więcej osobami,2,z innymi
40,102,581,KOSMICZNY LEJ,2,58,20,63,18,298,4.97,"0111, 0112, 0113",111,112,113,,,,,,,3,4,,,,3,z 3 lub więcej osobami,2,z innymi
41,102,582,COPERNICHAOS,2,63,20,64,12,52,0.87,"0111, 0112",111,112,,,,,,,,2,1,,,,3,z 3 lub więcej osobami,2,z innymi
42,102,583,TRZY KULKI  SZNURKU,2,64,40,65,10,30,0.5,"0111, 0112, 0107",111,112,107,,,,,,,3,1,,,,3,z 3 lub więcej osobami,2,z innymi
43,102,584,RAKIETA  WODÓR,2,65,10,67,10,120,2,"0112, 0107",112,107,,,,,,,,2,3,,,,3,z 3 lub więcej osobami,2,z innymi
44,102,585,RYSOWANIE  PIASKU,2,67,20,71,0,220,3.67,112,112,,,,,,,,,1,4,,,,2,z inną osobą,2,z innymi
45,102,586,PIPEDREAM,2,71,0,72,0,60,1,112,112,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
46,102,587,DRGAJĄCE PIERŚCIENIE,2,72,40,73,0,20,0.33,112,112,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
47,102,588,KOMORA MGŁOWA,2,73,0,73,30,30,0.5,112,112,,,,,,,,,1,1,,,,2,z inną osobą,2,z innymi
48,102,589,ZOBACZ CIEPŁO,2,73,30,73,55,25,0.42,112,112,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
49,102,590,WAHADŁO ŚWIETLNE,2,74,0,75,35,95,1.58,112,112,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
50,102,591,FIGURY LISSAJOUS,2,75,35,75,45,10,0.17,112,112,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
51,102,592,MYDLANE LUSTRO,2,75,45,78,40,175,2.92,112,112,,,,,,,,,1,4,,,0112 chce i zachęca do ucieczki.,2,z inną osobą,2,z innymi
52,102,593,WISZĄCE PIŁKI,2,78,50,81,30,160,2.67,"0112, 0107, 0102",112,107,102,,,,,,,3,4,,,,3,z 3 lub więcej osobami,2,z innymi
53,102,594,SYZYFOWA PRZEKŁADNIA,2,82,0,82,25,25,0.42,112,112,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
54,102,595,ZĄB ZA ZĄB,2,82,25,82,44,19,0.32,112,112,,,,,,,,,1,,,,,2,z inną osobą,2,z innymi
55,102,596,WISZĄCE PIŁKI,2,82,45,84,24,99,1.65,"0104, 0112",104,112,,,,,,,,2,,,,,3,z 3 lub więcej osobami,2,z innymi
56,102,597,OKNO KOPERNIKA,2,84,25,86,2,97,1.62,"0112, 0107, 0102",112,107,102,,,,,,,3,,,,,3,z 3 lub więcej osobami,2,z innymi
57,102,598,STACZANIE POD GÓRĘ,2,86,5,88,30,145,2.42,112,112,,,,,,,,,1,2,,1,,2,z inną osobą,2,z innymi
58,102,599,OBROTOWY STOLIK,2,88,30,90,40,130,2.17,"0112, 0105",112,105,,,,,,,,2,,,,,3,z 3 lub więcej osobami,2,z innymi
59,102,600,TRZY KULKI  SZNURKU,2,90,40,91,17,37,0.62,112,112,,,,,,,,,1,4,,,,2,z inną osobą,2,z innymi
60,102,601,INNE,1,92,0,92,30,30,0.5,112,112,,,,,,,,,1,,,,Ucieka,2,z inną osobą,2,z innymi
61,102,602,"RADIO, CZYLI SZKODA, ŻE PAŃSTWO TEGO NIE WIDZĄ",2,92,30,93,0,30,0.5,112,112,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
62,102,603,SERDUSZKO BIJE W RYTM CHA-CHA,2,93,0,93,50,50,0.83,112,112,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
63,102,604,JEDEN Z MILIO,2,94,0,95,0,60,1,112,112,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
64,102,605,GRAJĄCA DESECZKA,2,95,0,96,20,80,1.33,112,112,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
65,102,606,BAJT TWOJEGO WZROSTU,2,96,20,97,10,50,0.83,112,112,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
66,102,607,TWOJA LINIA ŚWIATA,2,97,10,100,40,210,3.5,"0112, 0107",112,107,,,,,,,,2,3,,,,3,z 3 lub więcej osobami,2,z innymi
67,102,608,PRAWDZIWA GEOMETRIA TURY,2,100,40,101,5,25,0.42,"0112, 0107",112,107,,,,,,,,2,,,,,3,z 3 lub więcej osobami,2,z innymi
68,102,609,KOŁOWRÓT STUDZIENNY,2,101,5,103,25,140,2.33,"0112, 0107",112,107,,,,,,,,2,3,,,,3,z 3 lub więcej osobami,2,z innymi
69,102,610,"TRZY TURBINY, TRZECH WYLAZCÓW",2,103,40,104,32,52,0.87,112,112,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
70,102,611,I TŁOKI TURKOCĄ,2,105,0,106,0,60,1,"0112, 0107",112,107,,,,,,,,2,1,,,,3,z 3 lub więcej osobami,2,z innymi
71,102,612,KOPUŁA WIEŃCZY DZIEŁO,2,106,1,110,0,239,3.98,112,112,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
72,104,1,WAHADŁO FOUCAULT,2,0,9,0,35,26,0.43,115,115,,,,,,,,,1,1,,,"Presja kolegi : ""Ej, chodź.""",2,z inną osobą,2,z innymi
73,104,2,KOŁOWRÓT STUDZIENNY,2,0,37,2,38,121,2.02,,,,,,,,,,,0,4,,,,1,sam/a,1,sam/a
74,104,3,PERSKIE KOŁO,2,2,40,3,14,34,0.57,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
75,104,4,ŚRUBA ARCHIMEDESA,2,3,16,3,30,14,0.23,115,115,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
76,104,5,ŁODZIĄ POD GÓRĘ,2,4,17,4,55,38,0.63,115,115,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
77,104,6,"TRZY TURBINY, TRZECH WYLAZCÓW",2,6,0,6,43,43,0.72,115,115,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
78,104,7,WIATRAKI I TURBOWIATRAKI,2,6,50,7,30,40,0.67,"0115, 0105",115,105,,,,,,,,2,4,,,,3,z 3 lub więcej osobami,2,z innymi
79,104,8,GDZIE ARCHEOLOG NIE MOŻE TAM ROBOTA POŚLE,2,7,42,7,49,7,0.12,113,113,,,,,,,,,1,1,,,,2,z inną osobą,2,z innymi
80,104,9,PIONY W PLASTERKACH,2,7,52,8,10,18,0.3,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
81,104,10,WIATRAKI I TURBOWIATRAKI,2,9,4,9,40,36,0.6,,,,,,,,,,,0,1,,,,1,sam/a,1,sam/a
82,104,11,EKSPERYMENT Z KALEJDOSKOPEM,2,9,53,10,22,29,0.48,115,115,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
83,104,12,ZWIERCIADLANY LABIRYNT,2,10,38,10,53,15,0.25,,,,,,,,,,,0,1,,,,1,sam/a,1,sam/a
84,104,13,GDZIE ARCHEOLOG NIE MOŻE TAM ROBOTA POŚLE,2,11,34,12,3,29,0.48,115,115,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
85,104,14,KOŁOWRÓT STUDZIENNY,2,12,10,12,32,22,0.37,,,,,,,,,,,0,4,,,,1,sam/a,1,sam/a
86,104,15,PERSKIE KOŁO,2,13,12,13,22,10,0.17,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
87,104,16,ELEKTRONICZNY POETA,2,13,56,14,10,14,0.23,115,115,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
88,104,17,HISTORIA KOŁEM SIĘ TOCZY,2,14,30,15,3,33,0.55,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
89,104,18,W GOŚCI DO RADIOAKTYWNOŚCI,2,15,30,16,0,30,0.5,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
90,104,19,PRĄD  KORBKĘ,2,16,20,16,45,25,0.42,115,115,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
91,104,20,JEDEN Z MILIO,2,17,23,18,2,39,0.65,115,115,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
92,104,21,ŚWIETLNE AKROBACJE,2,18,22,18,56,34,0.57,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
93,104,22,PRAWDZIWA GEOMETRIA TURY,2,20,10,20,26,16,0.27,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
94,104,23,AUKCJA HOLENDERSKA,2,20,34,20,57,23,0.38,,,,,,,,,,,0,2,,,,1,sam/a,1,sam/a
95,104,24,MAGIA SZTUKI PREHISTORYCZNEJ,2,21,3,21,40,37,0.62,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
96,104,25,WAHADŁO FOUCAULT,2,22,0,23,1,61,1.02,,,,,,,,,,,0,1,,,,1,sam/a,1,sam/a
97,104,26,POCISK  SPRĘŻONE POWIETRZE,2,23,37,24,8,31,0.52,,,,,,,,,,,0,4,,,,1,sam/a,1,sam/a
98,104,27,RAKIETA  WODÓR,2,24,9,24,31,22,0.37,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
99,104,28,GORĄCY BALON,2,24,35,24,50,15,0.25,,,,,,,,,,,0,2,,,,1,sam/a,1,sam/a
100,104,29,LATAJĄCY DYWAN,2,25,20,25,50,30,0.5,,,,,,,,,,,0,1,,,,1,sam/a,1,sam/a
101,104,30,ŻYWE SREBRO,2,25,54,26,17,23,0.38,,,,,,,,,,,0,4,,,,1,sam/a,1,sam/a
102,104,31,OKNO KOPERNIKA,2,26,23,27,25,62,1.03,,,,,,,,,,,0,4,,,,1,sam/a,1,sam/a
103,104,32,SKACZĄCA KULKA,2,27,33,28,0,27,0.45,,,,,,,,,,,0,4,1,,,1,sam/a,1,sam/a
104,104,33,FONTANNY W SZKLE,2,28,3,28,28,25,0.42,,,,,,,,,,,0,4,,,,1,sam/a,1,sam/a
105,104,34,FALOWANIE I SKAKANIE,2,28,30,28,44,14,0.23,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
106,104,35,TO NIE PRZELEWKI,2,28,55,29,7,12,0.2,107,107,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
107,104,36,STÓŁ CHLADNIEGO,2,29,20,30,11,51,0.85,,,,,,,,,,,0,4,,,,1,sam/a,1,sam/a
108,104,37,RADIO W GĘBIE,2,30,13,30,27,14,0.23,,,,,,,,,,,0,2,,,,1,sam/a,1,sam/a
109,104,38,ŚWIATŁO I DŹWIĘK,2,30,31,31,23,52,0.87,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
110,104,39,STROBOSKOPOWY SZNUREK,2,31,28,32,12,44,0.73,,,,,,,,,,,0,4,1,,,1,sam/a,1,sam/a
111,104,40,OBROTOWY STOLIK,2,32,22,34,56,154,2.57,,,,,,,,,,,0,4,,1,"Faj interakcja z animatorem, wreszcie zainteresowanie  twarzy.",1,sam/a,1,sam/a
112,104,41,POCISK  SPRĘŻONE POWIETRZE,2,36,15,36,52,37,0.62,115,115,,,,,,,,,1,4,,,Pokazuje koledze.,2,z inną osobą,2,z innymi
113,104,42,GORĄCY BALON,2,37,0,37,56,56,0.93,,,,,,,,,,,0,3,,,"Zniecierpliwienie, ponieważ balon nie leci.",1,sam/a,1,sam/a
114,104,43,RAKIETA  WODÓR,2,38,0,38,20,20,0.33,115,115,,,,,,,,,1,4,,,,2,z inną osobą,2,z innymi
115,104,44,POCISK  SPRĘŻONE POWIETRZE,2,38,22,38,35,13,0.22,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
116,104,45,DRABI JAKUBA,2,39,25,40,0,35,0.58,,,,,,,,,,,0,3,,,"Efekt wow, chciał pokazać koledze.",1,sam/a,1,sam/a
117,104,46,JEŻONE CIECZE,2,40,2,40,23,21,0.35,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
118,104,47,TANIEC IGŁAMI,2,40,25,40,44,19,0.32,,,,,,,,,,,0,2,,,,1,sam/a,1,sam/a
119,104,48,MAGNETYCZNY MOST,2,40,47,42,17,90,1.5,,,,,,,,,,,0,4,,,"""O ja!"" Chce pokazać koledze. Zbiera to co rozsypał.",1,sam/a,1,sam/a
120,104,49,DOMOWA ELEKTROWNIA,2,42,24,44,43,139,2.32,"0115, 0107",115,107,,,,,,,,2,4,,,"Radość, że są dżwięki.",3,z 3 lub więcej osobami,2,z innymi
121,104,50,TORDO OGNIA,2,44,45,45,21,36,0.6,105,105,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
122,104,51,UNIEŚ SAM SIEBIE,2,45,26,45,38,12,0.2,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
123,104,52,ŁÓDŹ PODWOD,2,45,46,46,20,34,0.57,105,105,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
124,104,53,MŁYŃSKIE KOŁO,2,46,22,46,40,18,0.3,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
125,104,54,OKNO KOPERNIKA,2,46,43,47,0,17,0.28,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
126,104,55,PRZEWROT KULKA,2,47,12,47,32,20,0.33,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
127,104,56,OKNO KOPERNIKA,2,48,0,48,20,20,0.33,,,,,,,,,,,0,4,,,,1,sam/a,1,sam/a
128,104,57,BĄBLE  START,2,48,32,48,58,26,0.43,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
129,104,58,ZAKRĘCONE CIECZE,2,49,0,49,25,25,0.42,,,,,,,,,,,0,3,1,,,1,sam/a,1,sam/a
130,104,59,BĘBNOSCYLOSKOP,2,49,38,50,18,40,0.67,105,105,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
131,104,60,STÓŁ CHLADNIEGO,2,50,22,51,42,80,1.33,115,115,,,,,,,,,1,3,,,Pokazuje koledze. Zauważył drgania.,2,z inną osobą,2,z innymi
132,104,61,CHWIEJNY WALEC,2,51,46,52,36,50,0.83,115,115,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
133,104,62,UTRZYMAJ PION,2,52,42,53,20,38,0.63,,,,,,,,,,,0,4,,,,1,sam/a,1,sam/a
134,104,63,MAGNETYCZ CHMURA,2,53,32,54,34,62,1.03,,,,,,,,,,,0,4,,,,1,sam/a,1,sam/a
135,104,64,OBROTOWY STOLIK,2,54,51,55,17,26,0.43,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
136,104,65,CHWIEJNY WALEC,2,55,28,57,53,145,2.42,115,115,,,,,,,,,1,3,,1,Nie wygląda jakby słuchał co mówi animator.,2,z inną osobą,2,z innymi
137,104,66,OBROTOWY STOLIK,2,58,6,59,0,54,0.9,115,115,,,,,,,,,1,4,,1,Pokazuje koledze to co wcześniej pokazał mu animator,2,z inną osobą,2,z innymi
138,104,67,CHAOTYCZNE WAHADŁO,2,59,6,59,25,19,0.32,115,115,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
139,104,68,PIRUETY,2,59,32,59,38,6,0.1,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
140,104,69,ROWEROWE PRZEKRĘTY,2,59,49,62,40,171,2.85,115,115,,,,,,,,,1,4,,1,Animator kilka  razy musiał powtórzyć co ma zrobić. Niezbyt zaiteresowany wyjaśnieniem animatora.,2,z inną osobą,2,z innymi
141,104,70,NIESFOR WALIZKA,2,62,49,63,47,58,0.97,"0107, 0115 ",107,115,,,,,,,,2,3,,,Zainteresowany efektem ale bez merytoryki.,3,z 3 lub więcej osobami,2,z innymi
142,104,71,LENIWE KOŁA,2,63,56,64,7,11,0.18,115,115,,,,,,,,,1,1,,,,2,z inną osobą,2,z innymi
143,104,72,MAGNETYCZNY MOST,2,64,20,65,35,75,1.25,115,115,,,,,,,,,1,4,,,"Pokazuje koledze, duże zainteresowanie.",2,z inną osobą,2,z innymi
144,104,73,WISZĄCA PIŁKA,2,67,1,68,24,83,1.38,115,115,,,,,,,,,1,3,,1,"Niezbyt zainteresowany tym co mówi animator, ale dobrze się bawi. ""Fajne.""",2,z inną osobą,2,z innymi
145,104,74,WISZĄCE PIŁKI,2,68,26,68,52,26,0.43,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
146,104,75,WISZĄCA PIŁKA,2,68,53,70,18,85,1.42,115,115,,,,,,,,,1,3,,,"Calowanie piłką do kosza  zmianę z kolegą. ""Wow.""",2,z inną osobą,2,z innymi
147,104,76,WISZĄCE PIŁKI,2,70,20,70,56,36,0.6,115,115,,,,,,,,,1,4,,,,2,z inną osobą,2,z innymi
148,104,77,WCIĄGAJĄCE SKRZYDŁO,2,71,0,71,43,43,0.72,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
149,104,78,TORDO OGNIA,2,71,46,71,53,7,0.12,115,115,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
150,104,79,ZĄB ZA ZĄB,2,71,55,72,30,35,0.58,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
151,104,80,SYZYFOWA PRZEKŁADNIA,2,72,32,74,24,112,1.87,115,115,,,,,,,,,1,3,,,"Duże zainteresowanie kręceniem, chęć zbicia wazonu.",2,z inną osobą,2,z innymi
152,104,81,DOMOWA ELEKTROWNIA,2,74,29,75,37,68,1.13,115,115,,,,,,,,,1,3,,,Radocha z muzyki.,2,z inną osobą,2,z innymi
153,104,82,LATAJĄCY DYWAN,2,75,54,76,20,26,0.43,115,115,,,,,,,,,1,2,,,"Nie zwraca uwagi  ""chwilowo nie działam"".",2,z inną osobą,2,z innymi
154,104,83,FOTOKOMÓRKA,2,77,8,78,15,67,1.12,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
155,104,84,DRGAJĄCE PIERŚCIENIE,2,78,34,78,45,11,0.18,,,,,,,,,,,0,2,,,,1,sam/a,1,sam/a
156,104,85,EFEKT FOTOELEKTRYCZNY,2,79,31,80,19,48,0.8,,,,,,,,,,,0,2,,,,1,sam/a,1,sam/a
157,104,86,JSZYBSZA ZJEŻDŻALNIA,2,80,45,81,30,45,0.75,,,,,,,,,,,0,3,,,"Zdezorientowany, bo kolegę zabrali  wywiad.",1,sam/a,1,sam/a
158,104,87,NIESPRAWIEDLIWY WYŚCIG,2,81,32,81,56,24,0.4,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
159,104,88,PRZEWROT KULKA,2,82,1,82,28,27,0.45,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
160,104,89,ŻYWE SREBRO,2,82,34,82,59,25,0.42,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
161,104,90,WCIĄGAJĄCE SKRZYDŁO,2,83,10,83,45,35,0.58,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
162,104,91,OKNO KOPERNIKA,2,85,0,85,20,20,0.33,,,,,,,,,,,0,1,,,,1,sam/a,1,sam/a
163,104,92,STACZANIE POD GÓRĘ,2,85,38,86,2,24,0.4,,,,,,,,,,,0,2,,,,1,sam/a,1,sam/a
164,104,93,PRZEWROT KULKA,2,86,20,86,48,28,0.47,107,107,,,,,,,,,1,3,1,,,2,z inną osobą,2,z innymi
165,104,94,KROCZĄCA SPRĘŻY,2,86,53,87,20,27,0.45,107,107,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
166,104,95,ŁAŃCUCH - LASSO,2,87,24,87,54,30,0.5,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
167,104,96,PRZEWROT KULKA,2,88,13,88,24,11,0.18,,,,,,,,,,,0,2,,,,1,sam/a,1,sam/a
168,104,97,RYSOWANIE  PIASKU,2,89,30,90,28,58,0.97,107,107,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
169,104,98,KOSMICZNY ŚMIETNIK,2,90,40,98,42,482,8.03,107,107,,,,,,,,,1,1,,,"Musieli poczekać, aż zwolni się ekspot. Zmęczenie i niechęć  twarzy.",2,z inną osobą,2,z innymi
170,104,99,ZWIERCIADLANY LABIRYNT,2,100,10,100,28,18,0.3,,,,,,,,,,,0,2,,,Zaczy uciekać.,1,sam/a,1,sam/a
171,104,100,WAHADŁO FOUCAULT,2,100,45,101,41,56,0.93,,,,,,,,,,,0,1,,,,1,sam/a,1,sam/a
172,104,101,PERSKIE KOŁO,2,102,24,102,55,31,0.52,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
173,104,102,TRZY KULKI  SZNURKU,2,105,5,105,43,38,0.63,115,115,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
174,104,103,ŁAŃCUCH - LASSO,2,106,53,107,37,44,0.73,115,115,,,,,,,,,1,2,,,Przeszkadza koledze.,2,z inną osobą,2,z innymi
175,104,104,FONTANNY W SZKLE,2,107,39,107,57,18,0.3,,,,,,,,,,,0,2,,,,1,sam/a,1,sam/a
176,104,105,FALOWANIE I SKAKANIE,2,108,12,108,39,27,0.45,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
177,104,106,FONTANNY W SZKLE,2,108,43,109,15,32,0.53,115,115,,,,,,,,,1,4,,,"""O patrz!""",2,z inną osobą,2,z innymi
178,104,107,TO NIE PRZELEWKI,2,109,22,110,4,42,0.7,,,,,,,,,,,0,3,,,Zainteresowanie jak się przelewa ale i zakręcić jak jszybciej.,1,sam/a,1,sam/a
