olimpiada;medal;olimpijczyk;rok_urodzenia;wiek;plec;dyscyplina;konkurencja
1980;S;Woronin Marian;1956;24;M;lekkoatletyka;4x100m relay
1980;S;Wszola Jacek;1956;24;M;lekkoatletyka;high jump
1980;B;Wysoczanska Barbara;1949;31;K;szermierka;foil individual
1980;S;Zwolinski Krzysztof;1959;21;M;lekkoatletyka;4x100m relay
1980;B;Zych Boguslaw;1951;29;M;szermierka;foil team
1988;B;Dopierala Marek;1960;28;M;kajakarstwo;C-2 1000m (canoe double)
1988;S;Dopierala Marek;1960;28;M;kajakarstwo;C-2 500m (canoe double)
1988;B;Dydak Jan;1968;20;M;boks;63.5 - 67kg (welterweight)
1988;B;Dylewska-Swiatowiak Izabela;1968;20;K;kajakarstwo;K-1 500m (kayak single)
1988;S;Glab Andrzej;1966;22;M;zapasy;- 48kg (light-flyweight)
1988;B;Golota Andrzej;1968;20;M;boks;81 - 91kg (heavyweight)
1988;S;Halupczok Joachim;1968;20;M;kolarstwo;team time trial
1988;S;Jaskula Zenon;1962;26;M;kolarstwo;team time trial
1988;B;Lbik Marek;1958;30;M;kajakarstwo;C-2 1000m (canoe double)
1988;S;Lbik Marek;1958;30;M;kajakarstwo;C-2 500m (canoe double)
1988;Z;Legien Waldemar;1963;25;M;judo;71 - 78kg (half-middleweight)
1988;S;Lesniewski Marek;1963;25;M;kolarstwo;team time trial
1988;S;Olech Janusz;1965;23;M;szermierka;sabre individual
1988;S;Pawlowski Janusz;1959;29;M;judo;60 - 65kg (half-lightweight)
1988;B;Petrich Henryk;1959;29;M;boks;75 - 81kg (light-heavyweight)
1988;S;Sypytkowski Andrzej;1963;25;M;kolarstwo;team time trial
1988;B;Tracz Jozef;1964;24;M;zapasy;68 - 74kg (welterweight)
1988;B;Wojdat Artur;1968;20;M;plywanie;400m freestyle
1988;Z;Wronski Andrzej;1965;23;M;zapasy;90 - 100kg (heavyweight)
1988;B;Zarenkiewicz Janusz;1959;29;M;boks;+ 91kg (super heavyweight)
1988;B;Zawada Slawomir;1965;23;M;podnoszenie ciezarow;82.5 - 90kg, total (middle-heavyweight)
1992;B;Bartnik Wojciech;1967;25;M;boks;75 - 81kg (light-heavyweight)
1992;B;Bialkowski Dariusz;1970;22;M;kajakarstwo;K-2 1000m (kayak double)
1992;B;Broniewski Kajetan;1963;29;M;wioslarstwo;single sculls (1x)
1992;S;Brzeczek Jerzy;1971;21;M;pilka nozna;pilka nozna
1992;B;Cieslak Michal;1968;24;M;wioslarstwo;four-oared shell with coxswain (4-)
1992;Z;Czyzowicz Maciej;1962;30;M;piecioboj nowoczesny;Team competition
1992;B;Dylewska-Swiatowiak Izabella;1968;24;K;kajakarstwo;K-1 500m (kayak single)
1992;S;Freimut Maciej;1967;25;M;kajakarstwo;K-2 500m (kayak double)
1992;S;Gesior Dariusz;1969;23;M;pilka nozna;pilka nozna
1992;Z;Gozdziak Dariusz;1962;30;M;piecioboj nowoczesny;Team competition
1992;S;Jalocha Marcin;1971;21;M;pilka nozna;pilka nozna
1992;B;Jankowski Wojciech;1963;29;M;wioslarstwo;four-oared shell with coxswain (4-)
1992;S;Juskowiak Andrzej;1970;22;M;pilka nozna;pilka nozna
1992;B;Kielpikowski Piotr;1962;30;M;szermierka;foil team
1992;S;Kobylanski Andrzej;1970;22;M;pilka nozna;pilka nozna
1992;B;Kotowicz Grzegorz;1973;19;M;kajakarstwo;K-2 1000m (kayak double)
1992;S;Kowalczyk Wojciech;1972;20;M;pilka nozna;pilka nozna
1992;S;Kozminski Marek;1971;21;M;pilka nozna;pilka nozna
1992;B;Krzesinski Adam;1965;27;M;szermierka;foil team
1992;B;Ksiazkiewicz Malgorzata;1967;25;K;strzelectwo;50m rifle 3 positions (3x20 shots)
1992;S;Kurpiewski Wojciech;1966;26;M;kajakarstwo;K-2 500m (kayak double)
1992;S;Lapinski Tomasz;1969;23;M;pilka nozna;pilka nozna
1992;B;Lasicki Maciej;1965;27;M;wioslarstwo;four-oared shell with coxswain (4-)
1992;Z;Legien Waldemar;1963;29;M;judo;78 - 86kg (middleweight)
1992;B;Malak Waldemar;1970;22;M;podnoszenie ciezarow;90 - 100kg, total (first-heavyweight)
1992;B;Partyka Artur;1969;23;M;lekkoatletyka;high jump
1992;S;Siemion Krzysztof;1966;26;M;podnoszenie ciezarow;75 - 82.5kg, total (light-heavyweight)
1992;B;Siess Cezary;1968;24;M;szermierka;foil team
1992;Z;Skrzypaszek Arkadiusz;1968;24;M;piecioboj nowoczesny;Individual competition
1992;Z;Skrzypaszek Arkadiusz;1968;24;M;piecioboj nowoczesny;Team competition
1992;B;Sobczak Ryszard;1967;25;M;szermierka;foil team
1992;S;Staniek Ryszard;1971;21;M;pilka nozna;pilka nozna
1992;S;Stepien Piotr;1963;29;M;zapasy;74 - 82kg (middleweight)
1992;B;Streich Jacek;1967;25;M;wioslarstwo;four-oared shell with coxswain (4-)
1992;S;Swierczewski Piotr;1972;20;M;pilka nozna;pilka nozna
1992;B;Sypniewski Marian;1955;37;M;szermierka;foil team
1992;S;Szukala Rafal;1971;21;M;plywanie;100m butterfly
1992;B;Tomiak Tomasz;1967;25;M;wioslarstwo;four-oared shell with coxswain (4-)
1992;S;Tracz Jozef;1964;28;M;zapasy;68 - 74kg (welterweight)
1992;S;Waldoch Tomasz;1971;21;M;pilka nozna;pilka nozna
1992;B;Wolczaniecki Sergiusz;1964;28;M;podnoszenie ciezarow;82.5 - 90kg, total (middle-heavyweight)
1996;B;Cofalik Andrzej;1968;28;M;podnoszenie ciezarow;76 - 83kg, total (light-heavyweight)
1996;B;Dzieciol Iwona;1975;21;K;lucznictwo;team (FITA Olympic round - 70m)
1996;S;Fafinski Jacek;1970;26;M;zapasy;82 - 90kg (light-heavyweight)
1996;S;Kielpikowski Piotr;1962;34;M;szermierka;foil team
1996;B;Klata Katarzyna;1972;24;K;lucznictwo;team (FITA Olympic round - 70m)
1996;Z;Korzeniowski Robert;1968;28;M;lekkoatletyka;50km walk
1996;S;Krzesinski Adam;1965;31;M;szermierka;foil team
1996;Z;Kusznierewicz Mateusz;1975;21;M;zeglarstwo;single-handed dinghy (Finn)
1996;B;Markiewicz Piotr;1973;23;M;kajakarstwo;K-1 500m (kayak single)
1996;Z;Mauer Renata;1969;27;K;strzelectwo;10m air rifle (40 shots)
1996;B;Mauer Renata;1969;27;K;strzelectwo;50m rifle 3 positions (3x20 shots)
1996;Z;Nastula Pawel;1970;26;M;judo;90 - 100kg (half-heavyweight)
1996;B;Nowicka Joanna;1966;30;K;lucznictwo;team (FITA Olympic round - 70m)
1996;S;Partyka Artur;1969;27;M;lekkoatletyka;high jump
1996;S;Rzepkowski Miroslaw;1959;37;M;strzelectwo;skeet (125 targets)
1996;S;Sobczak Ryszard;1967;29;M;szermierka;foil team
1996;S;Szczepanska Aneta;1974;22;K;judo;61 - 66kg (middleweight)
1996;B;Tracz Jozef;1964;32;M;zapasy;68 - 74kg (welterweight)
1996;Z;Wolny Ryszard;1969;27;M;zapasy;62 - 68kg (lightweight)
1996;Z;Wronski Andrzej;1965;31;M;zapasy;90 - 100kg (heavyweight)
1996;Z;Zawadzki Wlodzimierz;1967;29;M;zapasy;57 - 62kg (featherweight)
2000;S;Baraszkiewicz Pawel;1977;23;M;kajakarstwo;C-2 500m (canoe double)
2000;B;Bialkowski Dariusz;1970;30;M;kajakarstwo;K-4 1000m (kayak four)
2000;B;Blanik Leszek;1977;23;M;gimnastyka;vault
2000;S;Gruchala Sylwia;1971;29;K;szermierka;foil team
2000;S;Jedraszko Daniel;1976;24;M;kajakarstwo;C-2 500m (canoe double)
2000;S;Kolecki Szymon;1981;19;M;podnoszenie ciezarow;94kg
2000;S;Kolomanski Krzysztof;1973;27;M;kajakarstwo;C-2 (canoe double)
2000;Z;Korzeniowski Robert;1968;32;M;lekkoatletyka;20km walk
2000;Z;Korzeniowski Robert;1968;32;M;lekkoatletyka;50km walk
2000;B;Kotowicz Grzegorz;1973;27;M;kajakarstwo;K-4 1000m (kayak four)
2000;Z;Kucharski Tomasz;1974;26;M;wioslarstwo;lightweight double sculls (2x)
2000;Z;Mauer Renata;1969;31;K;strzelectwo;50m rifle 3 positions (3x20 shots)
2000;S;Mroczkiewicz Magdalena;1979;21;K;szermierka;foil team
2000;B;Pastuszka Aneta;1978;22;K;kajakarstwo;K-2 500m (kayak double)
2000;S;Rybicka Anna;1977;23;K;szermierka;foil team
2000;B;Seroczynski Adam;1974;26;M;kajakarstwo;K-4 1000m (kayak four)
2000;Z;Skolimowska Kamila;1982;18;K;lekkoatletyka;hammer throw
2000;B;Sokolowska Kulesza Beata;1974;26;K;kajakarstwo;K-2 500m (kayak double)
2000;S;Staniszewski Michal;1973;27;M;kajakarstwo;C-2 (canoe double)
2000;Z;Sycz Robert;1973;27;M;wioslarstwo;lightweight double sculls (2x)
2000;S;Szewczyk Barbara;1970;30;K;szermierka;foil team
2000;B;Witkowski Marek;1974;26;M;kajakarstwo;K-4 1000m (kayak four)
2000;S;Wrobel Agata;1981;19;K;podnoszenie ciezarow;+ 75kg
2000;Z;Ziolkowski Szymon;1976;24;M;lekkoatletyka;hammer throw
2004;B;Gruchala Sylwia;1971;33;K;szermierka;foil individual
2004;S;Jedrzejczak Otylia;1983;21;K;plywanie;100m butterfly
2004;Z;Jedrzejczak Otylia;1983;21;K;plywanie;200m butterfly
2004;S;Jedrzejczak Otylia;1983;21;K;plywanie;400m freestyle
2004;Z;Korzeniowski Robert;1968;36;M;lekkoatletyka;50km walk
2004;Z;Kucharski Tomasz;1974;30;M;wioslarstwo;lightweight double sculls (2x)
2004;B;Kusznierewicz Mateusz;1975;29;M;zeglarstwo;single-handed dinghy (Finn)
2004;B;Pastuszka Aneta;1978;26;K;kajakarstwo;K-2 500m (kayak double)
2004;B;Rogowska Anna;1981;23;K;lekkoatletyka;pole vault
2004;B;Sokolowska Kulesza Beata;1974;30;K;kajakarstwo;K-2 500m (kayak double)
2004;Z;Sycz Robert;1973;31;M;wioslarstwo;lightweight double sculls (2x)
2004;B;Wrobel Agata;1981;23;K;podnoszenie ciezarow;+ 75kg
2008;S;Andrzejuk Robert;1975;33;M;szermierka;épée team
2008;S;Bernatajtys Milosz;1982;26;M;wioslarstwo;lightweight coxless four (4-)
2008;Z;Blanik Leszek;1977;31;M;gimnastyka;vault
2008;Z;Jelinski Michal;1980;28;M;wioslarstwo;quadruple sculls without coxswain (4x)
2008;Z;Kolbowicz Marek;1971;37;M;wioslarstwo;quadruple sculls without coxswain (4x)
2008;S;Kolecki Szymon;1981;27;M;podnoszenie ciezarow;94kg
2008;S;Konieczna Aneta;1978;30;K;kajakarstwo;K-2 500m (kayak double)
2008;Z;Korol Adam;1974;34;M;wioslarstwo;quadruple sculls without coxswain (4x)
2008;Z;Majewski Tomasz;1981;27;M;lekkoatletyka;shot put
2008;S;Malachowski Piotr;1983;25;M;lekkoatletyka;discus throw
2008;S;Mikolajczyk Beata;1985;23;K;kajakarstwo;K-2 500m (kayak double)
2008;S;Motyka Tomasz;1981;27;M;szermierka;épée team
2008;S;Pawelczak Bartlomiej;1982;26;M;wioslarstwo;lightweight coxless four (4-)
2008;S;Pawlowski Lukasz;1983;25;M;wioslarstwo;lightweight coxless four (4-)
2008;S;Randa Pawel;1979;29;M;wioslarstwo;lightweight coxless four (4-)
2008;Z;Wasielewski Konrad;1984;24;M;wioslarstwo;quadruple sculls without coxswain (4x)
2008;S;Wiercioch Adam;1980;28;M;szermierka;épée team
2008;B;Wieszczek Agnieszka;1983;25;K;zapasy;63 - 72kg
2008;S;Wloszczowska Maja;1983;25;K;kolarstwo;cross-country
2008;S;Zawrotniak Radoslaw;1981;27;M;szermierka;épée team
2012;Z;Majewski Tomasz;1981;31;M;lekkoatletyka;shot put
2012;Z;Zielinski Adrian;1989;23;M;podnoszenie ciezarow;85 kg
2012;S;Wlodarczyk Anita;1985;27;K;lekkoatletyka;hammer throw
2012;S;Bogacka Sylwia;1981;31;K;strzelectwo;10m air rifle
2012;B;Mikolajczyk Beata;1985;27;K;kajakarstwo;K-2 500m (kayak double)
2012;B;Naja Karolina;1990;22;K;kajakarstwo;K-2 500m (kayak double)
2012;B;Bonk Bartlomiej;1984;28;M;podnoszenie ciezarow;105 kg
2012;B;Fularczyk Magdalena;1986;26;K;wioslarstwo;double sculls (2x)
2012;B;Michalska Julia;1985;27;K;wioslarstwo;double sculls (2x)
2012;B;Janikowski Damian;1989;23;M;zapasy;84 kg
2012;B;Miarczynski Przemyslaw;1979;33;M;zeglarstwo;windsurfing RS: X class
2012;B;Noceti Klepacka Zofia;1986;26;K;zeglarstwo;windsurfing RS: X class
2016;B;Majka Rafal;1989;27;M;kolarstwo;individual road race
2016;Z;Wlodarczyk Anita;1985;31;K;lekkoatletyka;hammer throw
2016;Z;Fularczyk Kozlowska Magdalena;1986;30;K;wioslarstwo;double sculls (2x)
2016;Z;Madaj Natalia;1988;28;K;wioslarstwo;double sculls (2x)
2016;S;Malachowski Piotr;1983;33;M;lekkoatletyka;discus throw
2016;S;Walczykiewicz Marta;1987;29;K;kajakarstwo;K-1 200m (kayak single)
2016;S;Wloszczowska Maja;1983;33;K;kolarstwo;cross-country
2016;B;Michalik Monika;1980;36;K;zapasy;63 kg
2016;B;Nowacka Oktawia;1991;25;K;piecioboj nowoczesny;Individual competition
2016;B;Nowicki Wojciech;1989;27;M;lekkoatletyka;hammer throw
2016;B;Mikolajczyk Beata;1985;31;K;kajakarstwo;K-2 500m (kayak double)
2016;B;Naja Karolina;1990;26;K;kajakarstwo;K-2 500m (kayak double)
2016;B;Ciaciuch Monika;1992;24;K;wioslarstwo;quadruple sculls without coxswain (4x)
2016;B;Kobus Agnieszka;1990;26;K;wioslarstwo;quadruple sculls without coxswain (4x)
2016;B;Leszczynska Joanna;1988;28;K;wioslarstwo;quadruple sculls without coxswain (4x)
2016;B;Springwald Maria;1991;25;K;wioslarstwo;quadruple sculls without coxswain (4x)
