lata;miejsce;gmina;opis
2009-2011;928;Bêdków;Wydatki ogó³em
2010-2012;847;Bêdków;Wydatki ogó³em
2011-2013;1248;Bêdków;Wydatki ogó³em
2012-2014;866;Bêdków;Wydatki ogó³em
2001-2003;1036;Inow³ódz;Wydatki ogó³em
2002-2004;521;Inow³ódz;Wydatki ogó³em
2003-2005;689;Inow³ódz;Wydatki ogó³em
2004-2006;756;Inow³ódz;Wydatki ogó³em
2005-2007;965;Inow³ódz;Wydatki ogó³em
2006-2008;717;Inow³ódz;Wydatki ogó³em
2007-2009;821;Inow³ódz;Wydatki ogó³em
2008-2010;1266;Inow³ódz;Wydatki ogó³em
2009-2011;1363;Inow³ódz;Wydatki ogó³em
2010-2012;1378;Inow³ódz;Wydatki ogó³em
2011-2013;1345;Inow³ódz;Wydatki ogó³em
2012-2014;1399;Inow³ódz;Wydatki ogó³em
2001-2003;80;Lubochnia;Wydatki z œrodków w³asnych samorz¹dów
2002-2004;158;Lubochnia;Wydatki z œrodków w³asnych samorz¹dów
2003-2005;588;Lubochnia;Wydatki z œrodków w³asnych samorz¹dów
2004-2006;915;Lubochnia;Wydatki z œrodków w³asnych samorz¹dów
2005-2007;1034;Lubochnia;Wydatki z œrodków w³asnych samorz¹dów
2006-2008;803;Lubochnia;Wydatki z œrodków w³asnych samorz¹dów
2007-2009;275;Lubochnia;Wydatki z œrodków w³asnych samorz¹dów
2008-2010;265;Lubochnia;Wydatki z œrodków w³asnych samorz¹dów
2009-2011;308;Lubochnia;Wydatki z œrodków w³asnych samorz¹dów
2010-2012;609;Lubochnia;Wydatki z œrodków w³asnych samorz¹dów
2011-2013;663;Lubochnia;Wydatki z œrodków w³asnych samorz¹dów
2012-2014;237;Lubochnia;Wydatki z œrodków w³asnych samorz¹dów
2001-2003;41;¯elechlinek;Wydatki z œrodków w³asnych samorz¹dów
2002-2004;49;¯elechlinek;Wydatki z œrodków w³asnych samorz¹dów
2003-2005;90;¯elechlinek;Wydatki z œrodków w³asnych samorz¹dów
2004-2006;687;¯elechlinek;Wydatki z œrodków w³asnych samorz¹dów
2005-2007;650;¯elechlinek;Wydatki z œrodków w³asnych samorz¹dów
2006-2008;425;¯elechlinek;Wydatki z œrodków w³asnych samorz¹dów
2007-2009;374;¯elechlinek;Wydatki z œrodków w³asnych samorz¹dów
2008-2010;191;¯elechlinek;Wydatki z œrodków w³asnych samorz¹dów
2009-2011;867;¯elechlinek;Wydatki z œrodków w³asnych samorz¹dów
2010-2012;978;¯elechlinek;Wydatki z œrodków w³asnych samorz¹dów
2011-2013;1335;¯elechlinek;Wydatki z œrodków w³asnych samorz¹dów
2012-2014;542;¯elechlinek;Wydatki z œrodków w³asnych samorz¹dów
2001-2003;129;Czerniewice;Wydatki z œrodków w³asnych samorz¹dów
2002-2004;165;Czerniewice;Wydatki z œrodków w³asnych samorz¹dów
2003-2005;348;Czerniewice;Wydatki z œrodków w³asnych samorz¹dów
2004-2006;483;Czerniewice;Wydatki z œrodków w³asnych samorz¹dów
2005-2007;350;Czerniewice;Wydatki z œrodków w³asnych samorz¹dów
2006-2008;473;Czerniewice;Wydatki z œrodków w³asnych samorz¹dów
2007-2009;630;Czerniewice;Wydatki z œrodków w³asnych samorz¹dów
2008-2010;906;Czerniewice;Wydatki z œrodków w³asnych samorz¹dów
2009-2011;1037;Czerniewice;Wydatki z œrodków w³asnych samorz¹dów
2010-2012;955;Czerniewice;Wydatki z œrodków w³asnych samorz¹dów
2011-2013;1005;Czerniewice;Wydatki z œrodków w³asnych samorz¹dów
2012-2014;433;Czerniewice;Wydatki z œrodków w³asnych samorz¹dów
2001-2003;292;Ujazd;Wydatki z œrodków w³asnych samorz¹dów
2002-2004;481;Ujazd;Wydatki z œrodków w³asnych samorz¹dów
2003-2005;356;Ujazd;Wydatki z œrodków w³asnych samorz¹dów
2004-2006;233;Ujazd;Wydatki z œrodków w³asnych samorz¹dów
2005-2007;168;Ujazd;Wydatki z œrodków w³asnych samorz¹dów
2006-2008;243;Ujazd;Wydatki z œrodków w³asnych samorz¹dów
2007-2009;675;Ujazd;Wydatki z œrodków w³asnych samorz¹dów
2008-2010;625;Ujazd;Wydatki z œrodków w³asnych samorz¹dów
2009-2011;449;Ujazd;Wydatki z œrodków w³asnych samorz¹dów
2010-2012;445;Ujazd;Wydatki z œrodków w³asnych samorz¹dów
