olimpiada;dyscyplina;olimpijczyk;rok_urodzenia;plec;konkurencja;medal;druzyna;liczba_osob;wiek
1956;podnoszenie ciezarow;Zielinski Marian;1929;M;56 - 60kg, total (featherweight);B;I;1;27
1956;szermierka;Zub Ryszard;1934;M;sabre team;S;T;6;22
1960;boks;Adamski Jerzy;1937;M;54 - 57kg (featherweight);S;I;1;23
1960;boks;Bendig Brunon;1938;M;51 - 54kg (bantamweight);B;I;1;22
1960;podnoszenie ciezarow;Bochenek Jan;1931;M;75 - 82.5kg, total (light-heavyweight);B;I;1;29
1960;boks;Drogosz Leszek (Lech);1933;M;63.5 - 67kg (welterweight);B;I;1;27
1960;lekkoatletyka;Dunska-Krzesinska Elzbieta;1934;K;long jump;S;I;1;26
1960;lekkoatletyka;Herrmann-Gorecka-Richter Halina;1938;K;4x100m relay;B;T;4;22
1960;lekkoatletyka;Jesionowska-Gerwin Celina;1933;K;4x100m relay;B;T;4;27
1960;lekkoatletyka;Jozwiakowska-Bieda Jaroslawa;1937;K;high jump;S;I;1;23
1960;kajakarstwo;Kaplaniak Stefan;1933;M;K-2 1000m (kayak double);B;T;2;27
1960;boks;Kasprzyk Marian;1939;M;60 - 63.5kg (light-welterweight);B;I;1;21
1960;wioslarstwo;Kocerka Teodor;1927;M;single sculls (1x);B;I;1;33
1960;lekkoatletyka;Krzyszkowiak Zdzislaw;1929;M;3000m steeplechase;Z;I;1;31
1960;szermierka;Kuszewski Marian Zygmunt;1933;M;sabre team;S;T;6;27
1960;lekkoatletyka;Lerczak-Janiszewska Barbara;1936;K;4x100m relay;B;T;4;24
1960;szermierka;Ochyra Emil Antoni;1936;M;sabre team;S;T;6;24
1960;podnoszenie ciezarow;Palinski Ireneusz;1932;M;75 - 82.5kg, total (light-heavyweight);Z;I;1;28
1960;szermierka;Pawlowski Jerzy;1932;M;sabre team;S;T;6;28
1960;boks;Pazdzior Kazimierz;1935;M;57 - 60kg (lightweight);Z;I;1;25
1960;szermierka;Piatkowski Andrzej Ryszard;1934;M;sabre team;S;T;6;26
1960;boks;Pietrzykowski Zbigniew;1934;M;75 - 81kg (light-heavyweight);S;I;1;26
1960;lekkoatletyka;Rut Tadeusz;1931;M;hammer throw;B;I;1;29
1960;lekkoatletyka;Schmidt Jozef;1935;M;triple jump;Z;I;1;25
