"nr_glosowania" "za" "przeciw" "wstrzymal" "nieobecny" "obecny" "tendencja" "proc_zgodnosci"
"126" 126 16 0 0 0 16 "Za" 1
"127" 127 16 0 0 0 16 "Za" 1
"128" 128 15 0 1 0 16 "Za" 0.94
"129" 129 1 14 1 0 16 "Przeciw" 0.88
"130" 130 0 16 0 0 16 "Przeciw" 1
"131" 131 15 0 0 1 15 "Za" 1
"132" 132 15 0 0 1 15 "Za" 1
"133" 133 0 15 0 1 15 "Przeciw" 1
"134" 134 0 15 0 1 15 "Przeciw" 1
"135" 135 0 15 0 1 15 "Przeciw" 1
"136" 136 0 15 0 1 15 "Przeciw" 1
"137" 137 1 14 0 1 15 "Przeciw" 0.93
"138" 138 14 0 0 2 14 "Za" 1
"139" 139 14 0 0 2 14 "Za" 1
"140" 140 14 0 0 2 14 "Za" 1
"141" 141 14 0 0 2 14 "Za" 1
"142" 142 0 0 14 2 14 "Wstrzyma³ siê" 1
"143" 143 0 13 0 3 13 "Przeciw" 1
"144" 144 14 0 0 2 14 "Za" 1
"145" 145 15 0 0 1 15 "Za" 1
"146" 146 0 0 15 1 15 "Wstrzyma³ siê" 1
"147" 147 1 0 14 1 15 "Wstrzyma³ siê" 0.93
"148" 148 15 0 0 1 15 "Za" 1
"149" 149 0 1 14 1 15 "Wstrzyma³ siê" 0.93
"150" 150 15 0 0 1 15 "Za" 1
"151" 151 15 0 0 1 15 "Za" 1
"152" 152 15 0 0 1 15 "Za" 1
"153" 153 15 0 0 1 15 "Za" 1
"154" 154 15 0 0 1 15 "Za" 1
"155" 155 16 0 0 0 16 "Za" 1
"156" 156 16 0 0 0 16 "Za" 1
"157" 157 16 0 0 0 16 "Za" 1
"158" 158 15 0 0 1 15 "Za" 1
"159" 159 0 15 1 0 16 "Przeciw" 0.94
"160" 160 16 0 0 0 16 "Za" 1
"161" 161 0 16 0 0 16 "Przeciw" 1
"162" 162 16 0 0 0 16 "Za" 1
"163" 163 0 1 15 0 16 "Wstrzyma³ siê" 0.94
"164" 164 1 15 0 0 16 "Przeciw" 0.94
"165" 165 0 16 0 0 16 "Przeciw" 1
"166" 166 16 0 0 0 16 "Za" 1
"167" 167 15 0 1 0 16 "Za" 0.94
"168" 168 0 15 0 1 15 "Przeciw" 1
"169" 169 0 16 0 0 16 "Przeciw" 1
