"nr_glosowania" "za" "przeciw" "wstrzymal" "nieobecny" "obecny" "tendencja" "proc_zgodnosci"
"115" 115 1 10 22 8 33 "Wstrzyma³ siê" 0.67
"116" 116 29 3 5 4 37 "Za" 0.78
"117" 117 1 38 1 1 40 "Przeciw" 0.95
"118" 118 37 1 1 2 39 "Za" 0.95
"119" 119 32 0 0 9 32 "Za" 1
"120" 120 0 36 2 3 38 "Przeciw" 0.95
"121" 121 37 0 2 2 39 "Za" 0.95
"122" 122 1 36 2 2 39 "Przeciw" 0.92
"123" 123 36 1 1 3 38 "Za" 0.95
"124" 124 41 0 0 0 41 "Za" 1
"125" 125 41 0 0 0 41 "Za" 1
"126" 126 39 0 1 1 40 "Za" 0.98
"127" 127 3 36 1 1 40 "Przeciw" 0.9
"128" 128 36 1 3 1 40 "Za" 0.9
"129" 129 4 35 1 1 40 "Przeciw" 0.88
"130" 130 1 37 1 2 39 "Przeciw" 0.95
"131" 131 37 0 1 3 38 "Za" 0.97
"132" 132 29 6 4 2 39 "Za" 0.74
"133" 133 36 0 3 2 39 "Za" 0.92
"134" 134 1 30 8 2 39 "Przeciw" 0.77
"135" 135 37 0 2 2 39 "Za" 0.95
"136" 136 4 28 7 2 39 "Przeciw" 0.72
"137" 137 11 25 3 2 39 "Przeciw" 0.64
"138" 138 0 2 35 4 37 "Wstrzyma³ siê" 0.95
"139" 139 1 21 17 2 39 "Przeciw" 0.54
"140" 140 4 12 22 3 38 "Wstrzyma³ siê" 0.58
"141" 141 5 31 2 3 38 "Przeciw" 0.82
"142" 142 3 32 2 4 37 "Przeciw" 0.86
"143" 143 37 0 1 3 38 "Za" 0.97
"144" 144 4 23 8 6 35 "Przeciw" 0.66
"145" 145 38 0 0 3 38 "Za" 1
"146" 146 1 37 0 3 38 "Przeciw" 0.97
"147" 147 35 3 0 3 38 "Za" 0.92
"148" 148 0 37 1 3 38 "Przeciw" 0.97
"149" 149 34 0 1 6 35 "Za" 0.97
"150" 150 0 35 0 6 35 "Przeciw" 1
"151" 151 0 34 0 7 34 "Przeciw" 1
"152" 152 0 35 0 6 35 "Przeciw" 1
"153" 153 0 34 0 7 34 "Przeciw" 1
"154" 154 10 26 2 3 38 "Przeciw" 0.68
"155" 155 37 0 0 4 37 "Za" 1
"156" 156 37 0 0 4 37 "Za" 1
"157" 157 36 0 0 5 36 "Za" 1
"158" 158 35 2 0 4 37 "Za" 0.95
"159" 159 36 0 1 4 37 "Za" 0.97
"160" 160 38 1 0 2 39 "Za" 0.97
"161" 161 24 1 13 3 38 "Za" 0.63
"162" 162 0 26 13 2 39 "Przeciw" 0.67
"163" 163 18 10 11 2 39 "Za" 0.46
"164" 164 16 17 6 2 39 "Przeciw" 0.44
"165" 165 0 36 3 2 39 "Przeciw" 0.92
"166" 166 2 2 35 2 39 "Wstrzyma³ siê" 0.9
"167" 167 30 4 5 2 39 "Za" 0.77
"168" 168 38 0 1 2 39 "Za" 0.97
"169" 169 1 34 4 2 39 "Przeciw" 0.87
"170" 170 4 30 5 2 39 "Przeciw" 0.77
"171" 171 33 1 1 6 35 "Za" 0.94
"172" 172 1 15 6 19 22 "Przeciw" 0.68
"173" 173 36 0 0 4 36 "Za" 1
"174" 174 36 0 0 4 36 "Za" 1
"175" 175 34 0 0 6 34 "Za" 1
"176" 176 34 0 0 6 34 "Za" 1
"177" 177 2 34 2 2 38 "Przeciw" 0.89
"178" 178 36 0 2 2 38 "Za" 0.95
"179" 179 36 0 2 2 38 "Za" 0.95
"180" 180 4 33 1 2 38 "Przeciw" 0.87
"181" 181 2 0 36 2 38 "Wstrzyma³ siê" 0.95
"182" 182 1 35 2 2 38 "Przeciw" 0.92
"183" 183 36 0 2 2 38 "Za" 0.95
"184" 184 1 3 28 8 32 "Wstrzyma³ siê" 0.88
"185" 185 0 34 4 2 38 "Przeciw" 0.89
"186" 186 30 4 4 2 38 "Za" 0.79
"187" 187 2 0 36 2 38 "Wstrzyma³ siê" 0.95
"188" 188 36 1 1 2 38 "Za" 0.95
"189" 189 35 0 2 3 37 "Za" 0.95
"190" 190 36 0 2 2 38 "Za" 0.95
"191" 191 0 0 38 2 38 "Wstrzyma³ siê" 1
"192" 192 35 1 2 2 38 "Za" 0.92
"193" 193 34 0 2 4 36 "Za" 0.94
"194" 194 35 0 2 3 37 "Za" 0.95
"195" 195 0 35 2 3 37 "Przeciw" 0.95
"196" 196 1 0 36 3 37 "Wstrzyma³ siê" 0.97
"197" 197 35 0 2 3 37 "Za" 0.95
"198" 198 34 0 3 3 37 "Za" 0.92
"199" 199 2 0 35 3 37 "Wstrzyma³ siê" 0.95
"200" 200 36 0 1 3 37 "Za" 0.97
"201" 201 35 0 3 2 38 "Za" 0.92
"202" 202 2 30 5 3 37 "Przeciw" 0.81
"203" 203 1 1 35 3 37 "Wstrzyma³ siê" 0.95
"204" 204 1 1 35 3 37 "Wstrzyma³ siê" 0.95
"205" 205 0 1 35 4 36 "Wstrzyma³ siê" 0.97
"206" 206 0 1 36 3 37 "Wstrzyma³ siê" 0.97
"207" 207 1 0 36 3 37 "Wstrzyma³ siê" 0.97
"208" 208 2 0 34 4 36 "Wstrzyma³ siê" 0.94
"209" 209 1 0 36 3 37 "Wstrzyma³ siê" 0.97
"210" 210 1 0 35 4 36 "Wstrzyma³ siê" 0.97
"211" 211 2 0 35 3 37 "Wstrzyma³ siê" 0.95
"212" 212 1 0 35 4 36 "Wstrzyma³ siê" 0.97
"213" 213 1 0 35 4 36 "Wstrzyma³ siê" 0.97
"214" 214 2 0 35 3 37 "Wstrzyma³ siê" 0.95
"215" 215 4 0 33 3 37 "Wstrzyma³ siê" 0.89
"216" 216 1 0 35 4 36 "Wstrzyma³ siê" 0.97
"217" 217 1 0 35 4 36 "Wstrzyma³ siê" 0.97
"218" 218 0 1 36 3 37 "Wstrzyma³ siê" 0.97
"219" 219 5 0 31 4 36 "Wstrzyma³ siê" 0.86
"220" 220 37 0 0 3 37 "Za" 1
"221" 221 30 0 6 4 36 "Za" 0.83
"222" 222 37 0 0 3 37 "Za" 1
"223" 223 37 0 0 3 37 "Za" 1
"224" 224 37 0 0 3 37 "Za" 1
"225" 225 37 0 0 3 37 "Za" 1
"226" 226 1 4 32 3 37 "Wstrzyma³ siê" 0.86
"227" 227 32 1 4 3 37 "Za" 0.86
"228" 228 37 0 0 3 37 "Za" 1
"229" 229 35 0 2 3 37 "Za" 0.95
"230" 230 1 35 1 3 37 "Przeciw" 0.95
"231" 231 4 32 0 4 36 "Przeciw" 0.89
"232" 232 1 0 34 5 35 "Wstrzyma³ siê" 0.97
"233" 233 5 1 8 26 14 "Wstrzyma³ siê" 0.57
"234" 234 37 0 0 3 37 "Za" 1
"235" 235 38 0 0 2 38 "Za" 1
"236" 236 38 0 0 2 38 "Za" 1
"237" 237 11 7 20 2 38 "Wstrzyma³ siê" 0.53
"238" 238 2 11 25 2 38 "Wstrzyma³ siê" 0.66
"239" 239 3 20 15 2 38 "Przeciw" 0.53
"240" 240 6 23 9 2 38 "Przeciw" 0.61
"241" 241 38 0 1 2 39 "Za" 0.97
"242" 242 2 36 0 3 38 "Przeciw" 0.95
"243" 243 36 1 0 4 37 "Za" 0.97
"244" 244 8 18 2 13 28 "Przeciw" 0.64
"245" 245 2 0 33 5 35 "Wstrzyma³ siê" 0.94
"246" 246 35 0 0 5 35 "Za" 1
"247" 247 0 0 35 5 35 "Wstrzyma³ siê" 1
"248" 248 0 34 1 5 35 "Przeciw" 0.97
"249" 249 0 0 35 5 35 "Wstrzyma³ siê" 1
"250" 250 0 1 33 6 34 "Wstrzyma³ siê" 0.97
"251" 251 0 0 35 5 35 "Wstrzyma³ siê" 1
"252" 252 0 0 35 5 35 "Wstrzyma³ siê" 1
"253" 253 33 0 1 6 34 "Za" 0.97
"254" 254 34 0 2 4 36 "Za" 0.94
"255" 255 0 0 36 4 36 "Wstrzyma³ siê" 1
"256" 256 0 0 36 4 36 "Wstrzyma³ siê" 1
"257" 257 0 0 36 4 36 "Wstrzyma³ siê" 1
"258" 258 0 1 34 5 35 "Wstrzyma³ siê" 0.97
"259" 259 33 0 2 5 35 "Za" 0.94
"260" 260 3 28 0 9 31 "Przeciw" 0.9
"261" 261 1 33 2 4 36 "Przeciw" 0.92
"262" 262 0 32 3 5 35 "Przeciw" 0.91
"263" 263 0 35 1 4 36 "Przeciw" 0.97
"264" 264 0 35 1 4 36 "Przeciw" 0.97
"265" 265 33 0 2 5 35 "Za" 0.94
"266" 266 0 35 1 4 36 "Przeciw" 0.97
"267" 267 33 0 3 4 36 "Za" 0.92
"268" 268 33 0 3 4 36 "Za" 0.92
"269" 269 33 0 3 4 36 "Za" 0.92
"270" 270 1 0 35 4 36 "Wstrzyma³ siê" 0.97
"271" 271 0 33 2 5 35 "Przeciw" 0.94
"272" 272 0 0 35 5 35 "Wstrzyma³ siê" 1
"273" 273 0 33 3 4 36 "Przeciw" 0.92
"274" 274 25 0 5 10 30 "Za" 0.83
"275" 275 6 27 3 4 36 "Przeciw" 0.75
