"nr_glosowania" "za" "przeciw" "wstrzymal" "nieobecny" "obecny" "tendencja" "proc_zgodnosci"
"124" 124 132 0 2 4 134 "Za" 0.99
"125" 125 135 0 0 3 135 "Za" 1
"126" 126 134 0 1 3 135 "Za" 0.99
"127" 127 135 0 0 3 135 "Za" 1
"128" 128 135 0 0 3 135 "Za" 1
"129" 129 135 0 0 3 135 "Za" 1
"130" 130 0 134 0 4 134 "Przeciw" 1
"131" 131 109 0 4 25 113 "Za" 0.96
"132" 132 121 1 0 16 122 "Za" 0.99
"133" 133 0 122 0 16 122 "Przeciw" 1
"134" 134 0 121 0 17 121 "Przeciw" 1
"135" 135 0 122 0 16 122 "Przeciw" 1
"136" 136 1 121 0 16 122 "Przeciw" 0.99
"137" 137 2 119 0 17 121 "Przeciw" 0.98
"138" 138 122 0 0 16 122 "Za" 1
"139" 139 122 0 0 16 122 "Za" 1
"140" 140 122 0 0 16 122 "Za" 1
"141" 141 121 1 0 16 122 "Za" 0.99
"142" 142 121 0 0 17 121 "Za" 1
"143" 143 0 120 1 17 121 "Przeciw" 0.99
"144" 144 121 0 1 16 122 "Za" 0.99
"145" 145 118 0 6 14 124 "Za" 0.95
"146" 146 0 128 1 9 129 "Przeciw" 0.99
"147" 147 0 128 1 9 129 "Przeciw" 0.99
"148" 148 126 2 1 9 129 "Za" 0.98
"149" 149 0 3 128 7 131 "Wstrzyma³ siê" 0.98
"150" 150 131 0 0 7 131 "Za" 1
"151" 151 131 0 0 7 131 "Za" 1
"152" 152 131 0 0 7 131 "Za" 1
"153" 153 131 0 0 7 131 "Za" 1
"154" 154 128 1 0 9 129 "Za" 0.99
"155" 155 129 0 2 7 131 "Za" 0.98
"156" 156 130 0 0 8 130 "Za" 1
"157" 157 128 1 1 8 130 "Za" 0.98
"158" 158 0 129 1 8 130 "Przeciw" 0.99
"159" 159 1 128 2 7 131 "Przeciw" 0.98
"160" 160 129 0 0 9 129 "Za" 1
"161" 161 0 131 0 7 131 "Przeciw" 1
"162" 162 129 2 0 7 131 "Za" 0.98
"163" 163 0 14 116 8 130 "Wstrzyma³ siê" 0.89
"164" 164 0 130 0 8 130 "Przeciw" 1
"165" 165 0 129 0 9 129 "Przeciw" 1
"166" 166 129 0 0 9 129 "Za" 1
"167" 167 131 0 0 7 131 "Za" 1
"168" 168 0 131 0 7 131 "Przeciw" 1
"169" 169 0 130 0 8 130 "Przeciw" 1
"170" 170 0 131 0 7 131 "Przeciw" 1
"171" 171 3 118 5 12 126 "Przeciw" 0.94
"172" 172 110 0 0 28 110 "Za" 1
"173" 173 109 0 0 29 109 "Za" 1
"174" 174 109 0 0 29 109 "Za" 1
"175" 175 109 0 0 29 109 "Za" 1
"176" 176 108 0 0 30 108 "Za" 1
"177" 177 0 107 0 31 107 "Przeciw" 1
"178" 178 111 0 0 27 111 "Za" 1
"179" 179 113 0 0 25 113 "Za" 1
"180" 180 116 0 0 22 116 "Za" 1
"181" 181 113 3 0 22 116 "Za" 0.97
"182" 182 3 115 0 20 118 "Przeciw" 0.97
"183" 183 120 0 0 18 120 "Za" 1
"184" 184 86 20 1 31 107 "Za" 0.8
"185" 185 119 0 0 19 119 "Za" 1
"186" 186 117 0 0 21 117 "Za" 1
"187" 187 120 0 0 18 120 "Za" 1
"188" 188 120 0 0 18 120 "Za" 1
"189" 189 120 0 0 18 120 "Za" 1
"190" 190 120 0 0 18 120 "Za" 1
"191" 191 0 120 0 18 120 "Przeciw" 1
"192" 192 120 0 0 18 120 "Za" 1
"193" 193 119 0 0 19 119 "Za" 1
"194" 194 119 0 0 19 119 "Za" 1
"195" 195 116 1 1 20 118 "Za" 0.98
"196" 196 118 0 0 20 118 "Za" 1
"197" 197 117 0 0 21 117 "Za" 1
"198" 198 119 0 0 19 119 "Za" 1
"199" 199 120 0 0 18 120 "Za" 1
"200" 200 116 1 0 21 117 "Za" 0.99
"201" 201 119 0 0 19 119 "Za" 1
"202" 202 119 0 0 19 119 "Za" 1
"203" 203 117 1 1 19 119 "Za" 0.98
"204" 204 117 0 0 21 117 "Za" 1
"205" 205 119 0 0 19 119 "Za" 1
"206" 206 118 0 0 20 118 "Za" 1
"207" 207 120 0 0 18 120 "Za" 1
"208" 208 120 0 0 18 120 "Za" 1
"209" 209 118 0 0 20 118 "Za" 1
"210" 210 119 0 0 19 119 "Za" 1
"211" 211 119 0 0 19 119 "Za" 1
"212" 212 118 0 0 20 118 "Za" 1
"213" 213 119 0 0 19 119 "Za" 1
"214" 214 119 0 1 18 120 "Za" 0.99
"215" 215 117 0 0 21 117 "Za" 1
"216" 216 117 0 0 21 117 "Za" 1
"217" 217 120 0 0 18 120 "Za" 1
"218" 218 120 0 0 18 120 "Za" 1
"219" 219 0 119 0 19 119 "Przeciw" 1
"220" 220 0 120 0 18 120 "Przeciw" 1
"221" 221 120 0 0 18 120 "Za" 1
"222" 222 19 1 98 20 118 "Wstrzyma³ siê" 0.83
"223" 223 121 0 0 17 121 "Za" 1
"224" 224 120 0 0 18 120 "Za" 1
"225" 225 118 2 0 18 120 "Za" 0.98
"226" 226 0 121 0 17 121 "Przeciw" 1
"227" 227 0 121 0 17 121 "Przeciw" 1
"228" 228 1 111 9 17 121 "Przeciw" 0.92
"229" 229 108 0 13 17 121 "Za" 0.89
"230" 230 120 0 1 17 121 "Za" 0.99
"231" 231 120 0 0 18 120 "Za" 1
"232" 232 115 0 0 23 115 "Za" 1
"233" 233 0 63 0 75 63 "Przeciw" 1
"234" 234 118 0 0 20 118 "Za" 1
"235" 235 114 0 5 19 119 "Za" 0.96
"236" 236 96 14 9 19 119 "Za" 0.81
"237" 237 0 119 0 19 119 "Przeciw" 1
"238" 238 0 119 0 19 119 "Przeciw" 1
"239" 239 119 0 0 19 119 "Za" 1
"240" 240 118 0 0 20 118 "Za" 1
"241" 241 105 1 16 16 122 "Za" 0.86
"242" 242 120 1 1 16 122 "Za" 0.98
"243" 243 0 118 0 20 118 "Przeciw" 1
"244" 244 106 0 3 29 109 "Za" 0.97
"245" 245 0 118 0 20 118 "Przeciw" 1
"246" 246 0 119 0 19 119 "Przeciw" 1
"247" 247 119 0 0 19 119 "Za" 1
"248" 248 119 0 0 19 119 "Za" 1
"249" 249 0 119 0 19 119 "Przeciw" 1
"250" 250 10 109 0 19 119 "Przeciw" 0.92
"251" 251 120 0 0 18 120 "Za" 1
"252" 252 120 0 0 18 120 "Za" 1
"253" 253 120 0 0 18 120 "Za" 1
"254" 254 118 0 0 20 118 "Za" 1
"255" 255 119 0 0 19 119 "Za" 1
"256" 256 116 2 0 20 118 "Za" 0.98
"257" 257 119 0 0 19 119 "Za" 1
"258" 258 116 1 0 21 117 "Za" 0.99
"259" 259 119 0 1 18 120 "Za" 0.99
"260" 260 0 121 0 17 121 "Przeciw" 1
"261" 261 121 0 0 17 121 "Za" 1
"262" 262 2 119 0 17 121 "Przeciw" 0.98
"263" 263 121 0 0 17 121 "Za" 1
"264" 264 120 0 0 18 120 "Za" 1
"265" 265 118 1 0 19 119 "Za" 0.99
"266" 266 120 0 0 18 120 "Za" 1
"267" 267 121 0 0 17 121 "Za" 1
"268" 268 119 2 0 17 121 "Za" 0.98
"269" 269 121 0 0 17 121 "Za" 1
"270" 270 121 0 0 17 121 "Za" 1
"271" 271 121 0 0 17 121 "Za" 1
"272" 272 120 0 0 18 120 "Za" 1
"273" 273 1 120 0 17 121 "Przeciw" 0.99
"274" 274 121 0 0 17 121 "Za" 1
"275" 275 0 120 0 18 120 "Przeciw" 1
"276" 276 116 0 0 22 116 "Za" 1
"277" 277 119 0 0 19 119 "Za" 1
"278" 278 0 125 1 12 126 "Przeciw" 0.99
"279" 279 126 0 0 12 126 "Za" 1
"280" 280 0 126 0 12 126 "Przeciw" 1
"281" 281 3 3 120 12 126 "Wstrzyma³ siê" 0.95
"282" 282 126 0 0 12 126 "Za" 1
"283" 283 1 125 0 12 126 "Przeciw" 0.99
"284" 284 126 0 0 12 126 "Za" 1
"285" 285 126 0 0 12 126 "Za" 1
"286" 286 126 0 0 12 126 "Za" 1
"287" 287 125 0 0 13 125 "Za" 1
"288" 288 126 0 0 12 126 "Za" 1
"289" 289 124 1 0 13 125 "Za" 0.99
"290" 290 1 125 0 12 126 "Przeciw" 0.99
"291" 291 2 124 0 12 126 "Przeciw" 0.98
"292" 292 126 0 0 12 126 "Za" 1
"293" 293 125 0 0 13 125 "Za" 1
"294" 294 126 0 0 12 126 "Za" 1
"295" 295 126 0 0 12 126 "Za" 1
"296" 296 125 1 0 12 126 "Za" 0.99
"297" 297 125 0 0 13 125 "Za" 1
"298" 298 126 0 0 12 126 "Za" 1
"299" 299 126 0 0 12 126 "Za" 1
"300" 300 126 0 0 12 126 "Za" 1
"301" 301 126 0 0 12 126 "Za" 1
"302" 302 0 126 0 12 126 "Przeciw" 1
"303" 303 126 0 0 12 126 "Za" 1
"304" 304 126 0 0 12 126 "Za" 1
"305" 305 126 0 0 12 126 "Za" 1
"306" 306 126 0 0 12 126 "Za" 1
"307" 307 1 125 0 12 126 "Przeciw" 0.99
"308" 308 126 0 0 12 126 "Za" 1
"309" 309 0 0 126 12 126 "Wstrzyma³ siê" 1
"310" 310 125 0 1 12 126 "Za" 0.99
"311" 311 126 0 0 12 126 "Za" 1
"312" 312 9 1 115 13 125 "Wstrzyma³ siê" 0.92
"313" 313 0 126 0 12 126 "Przeciw" 1
"314" 314 126 0 0 12 126 "Za" 1
"315" 315 0 117 0 21 117 "Przeciw" 1
"316" 316 0 117 0 21 117 "Przeciw" 1
"317" 317 0 117 0 21 117 "Przeciw" 1
"318" 318 0 117 0 21 117 "Przeciw" 1
"319" 319 1 116 0 21 117 "Przeciw" 0.99
"320" 320 0 131 2 5 133 "Przeciw" 0.98
"321" 321 134 0 0 4 134 "Za" 1
"322" 322 135 0 0 3 135 "Za" 1
"323" 323 134 0 0 4 134 "Za" 1
"324" 324 134 1 0 3 135 "Za" 0.99
"325" 325 133 1 0 4 134 "Za" 0.99
"326" 326 134 0 0 4 134 "Za" 1
"327" 327 0 135 0 3 135 "Przeciw" 1
"328" 328 0 135 0 3 135 "Przeciw" 1
"329" 329 0 135 0 3 135 "Przeciw" 1
"330" 330 134 1 0 3 135 "Za" 0.99
"331" 331 0 135 0 3 135 "Przeciw" 1
"332" 332 135 0 0 3 135 "Za" 1
"333" 333 1 133 0 4 134 "Przeciw" 0.99
"334" 334 134 0 1 3 135 "Za" 0.99
"335" 335 134 0 0 4 134 "Za" 1
"336" 336 134 0 0 4 134 "Za" 1
"337" 337 0 132 1 5 133 "Przeciw" 0.99
"338" 338 0 133 0 5 133 "Przeciw" 1
"339" 339 0 129 0 9 129 "Przeciw" 1
"340" 340 128 1 4 5 133 "Za" 0.96
"341" 341 133 0 0 5 133 "Za" 1
"342" 342 133 0 0 5 133 "Za" 1
"343" 343 133 0 0 5 133 "Za" 1
"344" 344 0 133 0 5 133 "Przeciw" 1
"345" 345 0 124 2 12 126 "Przeciw" 0.98
"346" 346 127 0 0 11 127 "Za" 1
"347" 347 1 124 1 12 126 "Przeciw" 0.98
"348" 348 92 10 27 9 129 "Za" 0.71
"349" 349 119 1 0 18 120 "Za" 0.99
"350" 350 128 0 0 10 128 "Za" 1
"351" 351 128 0 0 10 128 "Za" 1
"352" 352 1 127 2 8 130 "Przeciw" 0.98
"353" 353 128 0 1 9 129 "Za" 0.99
"354" 354 129 2 0 7 131 "Za" 0.98
"355" 355 0 131 0 7 131 "Przeciw" 1
"356" 356 13 116 0 9 129 "Przeciw" 0.9
"357" 357 130 0 0 8 130 "Za" 1
"358" 358 31 97 0 10 128 "Przeciw" 0.76
"359" 359 128 1 1 8 130 "Za" 0.98
"360" 360 122 0 1 15 123 "Za" 0.99
"361" 361 130 1 0 7 131 "Za" 0.99
"362" 362 126 1 0 11 127 "Za" 0.99
"363" 363 4 124 4 6 132 "Przeciw" 0.94
"364" 364 129 0 0 9 129 "Za" 1
"365" 365 132 1 0 5 133 "Za" 0.99
"366" 366 133 0 0 5 133 "Za" 1
"367" 367 133 0 0 5 133 "Za" 1
"368" 368 133 0 0 5 133 "Za" 1
"369" 369 131 0 0 7 131 "Za" 1
"370" 370 116 1 0 21 117 "Za" 0.99
"371" 371 122 9 0 7 131 "Za" 0.93
"372" 372 126 0 0 12 126 "Za" 1
"373" 373 124 4 0 10 128 "Za" 0.97
"374" 374 26 101 0 11 127 "Przeciw" 0.8
"375" 375 129 5 0 4 134 "Za" 0.96
"376" 376 134 0 0 4 134 "Za" 1
"377" 377 131 0 0 7 131 "Za" 1
"378" 378 131 0 0 7 131 "Za" 1
"379" 379 131 0 0 7 131 "Za" 1
"380" 380 132 0 1 5 133 "Za" 0.99
"381" 381 133 0 0 5 133 "Za" 1
"382" 382 130 0 0 8 130 "Za" 1
"383" 383 133 1 0 4 134 "Za" 0.99
"384" 384 128 1 0 9 129 "Za" 0.99
"385" 385 132 1 0 5 133 "Za" 0.99
"386" 386 133 0 0 5 133 "Za" 1
"387" 387 129 0 0 9 129 "Za" 1
"388" 388 130 0 0 8 130 "Za" 1
"389" 389 133 0 0 5 133 "Za" 1
"390" 390 132 0 0 6 132 "Za" 1
"391" 391 129 0 0 9 129 "Za" 1
"392" 392 127 0 0 11 127 "Za" 1
"393" 393 127 0 0 11 127 "Za" 1
"394" 394 127 0 0 11 127 "Za" 1
"395" 395 131 0 0 7 131 "Za" 1
"396" 396 133 0 0 5 133 "Za" 1
"397" 397 130 0 1 7 131 "Za" 0.99
"398" 398 130 0 1 7 131 "Za" 0.99
"399" 399 130 0 0 8 130 "Za" 1
"400" 400 131 0 0 7 131 "Za" 1
"401" 401 131 0 0 7 131 "Za" 1
"402" 402 123 1 0 14 124 "Za" 0.99
"403" 403 129 2 0 7 131 "Za" 0.98
"404" 404 130 0 0 8 130 "Za" 1
"405" 405 130 2 0 6 132 "Za" 0.98
"406" 406 131 0 0 7 131 "Za" 1
"407" 407 128 0 0 10 128 "Za" 1
"408" 408 129 0 0 9 129 "Za" 1
"409" 409 126 6 2 4 134 "Za" 0.94
"410" 410 134 0 0 4 134 "Za" 1
"411" 411 130 1 0 7 131 "Za" 0.99
"412" 412 57 72 2 7 131 "Przeciw" 0.55
"413" 413 41 91 1 5 133 "Przeciw" 0.68
"414" 414 84 50 0 4 134 "Za" 0.63
"415" 415 133 0 0 5 133 "Za" 1
"416" 416 133 0 0 5 133 "Za" 1
"417" 417 134 0 0 4 134 "Za" 1
"418" 418 134 0 0 4 134 "Za" 1
"419" 419 84 48 1 5 133 "Za" 0.63
"420" 420 130 0 0 8 130 "Za" 1
"421" 421 113 17 0 8 130 "Za" 0.87
"422" 422 131 0 0 7 131 "Za" 1
"423" 423 132 0 0 6 132 "Za" 1
"424" 424 134 0 0 4 134 "Za" 1
"425" 425 131 2 0 5 133 "Za" 0.98
"426" 426 130 1 0 7 131 "Za" 0.99
"427" 427 131 0 0 7 131 "Za" 1
"428" 428 132 0 0 6 132 "Za" 1
"429" 429 132 1 0 5 133 "Za" 0.99
"430" 430 131 1 0 6 132 "Za" 0.99
